,fname,text
37, page company terms.html," page company terms.html.   Terms & Conditions - SB UI Kit Pro    SB UI Kit Pro Home            Landings             Multipurpose landing pages for a variety of projects. View All  Applications Mobile App Desktop App Business Multipurpose Agency Press Directory Rental Real Estate Classifieds Lead Generation Lead Capture Personal Resume Portfolio Header Styles Basic Basic (Signup) Graphic Graphic (Signup)                 Video Header                 New! Inner Page Nav Only              Pages             Company Basic Page About Pricing Contact Team Terms Support Help Center Knowledgebase Message Center Support Ticket Careers Careers List Position Details Blog Overview Post Archive Portfolio Grid Large Grid Masonry Case Study Project Error 400 Error 401 Error 404 Error (Option 1) 404 Error (Option 2) 500 Error 503 Error 504 Error             Documentation             Documentation              Usage instructions and reference              Components              Code snippets and reference              Changelog              Updates and changes                       Buy Now            Terms & Privacy Last updated: January 2020 1. Overview Lorem ipsum dolor sit, amet consectetur adipisicing elit. Molestiae, corporis? Facere quisquam earum dolore excepturi minima, fuga laborum reiciendis molestias nesciunt, impedit perspiciatis voluptatem nisi ad modi labore ipsam quas. Lorem ipsum dolor sit, amet consectetur adipisicing elit. In, quis explicabo? Quis non minima, placeat aspernatur reiciendis, itaque quam quos eaque doloribus vero facere libero enim quo dolor. Et, fugit! Lorem, ipsum dolor sit amet consectetur adipisicing elit. Facere harum neque, repellendus, accusamus maiores libero iure corporis alias laboriosam voluptatem perferendis repellat excepturi iusto eos? Illum nam minus officia corrupti! 2. Personal Data We Collect Lorem ipsum dolor sit amet consectetur adipisicing elit. Earum fuga molestias atque, nesciunt, rerum quas voluptates maiores ad libero, eos illum. Dolorem sunt, modi dolores error ipsum deserunt architecto temporibus! Lorem ipsum dolor sit amet consectetur adipisicing elit. Vero suscipit excepturi natus quae deserunt aliquam, aut distinctio, eum a laboriosam earum reiciendis beatae magni, cum minima unde? Sint, saepe reprehenderit. Lorem ipsum dolor sit amet consectetur adipisicing elit. Nulla repellendus qui quidem voluptatibus architecto unde aspernatur quam facilis incidunt expedita quisquam natus nemo, impedit iure dignissimos saepe ab minus molestiae. 3. How We Use Personal Data Lorem ipsum, dolor sit amet consectetur adipisicing elit. Autem excepturi repellat ipsum veniam dolores, aperiam obcaecati quaerat! Reiciendis dolore, ipsa eaque a eum architecto sed perspiciatis deserunt totam! Exercitationem, ipsum! Lorem ipsum dolor, sit amet consectetur adipisicing elit. Vero nam consequatur nisi eius odit eligendi ut tempora deserunt, repudiandae quo hic veritatis sunt optio ea nemo laborum mollitia quae illum. 4. How We Disclose Personal Data Lorem, ipsum dolor sit amet consectetur adipisicing elit. Dicta, cumque sed porro dolorum ipsum eum quis eveniet natus, optio ipsa aperiam aliquid quaerat quos vitae maiores. Minima consequuntur quidem perferendis? Lorem ipsum, dolor sit amet consectetur adipisicing elit. Voluptates quaerat ipsam quis nisi in, rem aliquam odio quasi obcaecati. Dolorum error aliquam labore deserunt velit ipsa in corrupti, consectetur cumque! Lorem ipsum dolor sit, amet consectetur adipisicing elit. Similique quia eligendi possimus odit, velit nihil eum perferendis laborum facilis sequi quo provident veritatis nostrum cupiditate accusamus quam tempore? Deleniti, architecto. Lorem ipsum dolor sit amet consectetur adipisicing elit. Eius cum nemo ipsam eum, quam neque quae vel culpa, minus accusantium rerum ullam facere modi quo mollitia, non dolores ipsum aut. We're here to help Contact Us     SB UI Kit Pro Design made easy   Product Landing Pages Sections Documentation Changelog Technical Documentation Changelog Theme Customizer UI Kit Includes Utilities Components Layouts Code Samples Products Affiliates Updates Legal Privacy Policy Terms and Conditions License  Copyright © Your Website 2021 Privacy Policy         ·         Terms & Conditions   "
38, page error 400.html," page error 400.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
39, page error 401.html," page error 401.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
40, page error 404 1.html," page error 404 1.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
41, page error 404 2.html," page error 404 2.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
42, page error 500.html," page error 500.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
43, page error 503.html," page error 503.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
44, page error 504.html," page error 504.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
45, page help center.html," page help center.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
46, page help knowledgebase.html," page help knowledgebase.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
47, page help message center.html," page help message center.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
48, page help support ticket.html," page help support ticket.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
49, page portfolio case study.html," page portfolio case study.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
50, page portfolio grid.html," page portfolio grid.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
51, page portfolio large grid.html," page portfolio large grid.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
52, page portfolio masonry.html," page portfolio masonry.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
53, page portfolio project.html," page portfolio project.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
54, research.html," research.html.   Research - OpenEXA     OpenEXA  Home Margin About Team Research Contact      Login        Research      Our team members and advisors have a deep understanding of the complexities of the financial markets, including market trends, investment strategies, risk management and regulations.         Tim Leung, Ph.D. Read writing from Tim Leung, Ph.D. on Medium. Boeing Endowed Chair Professor of Applied Math, Director of the Computational Finance & Risk Management (CFRM) Program at University of Washington, Seattle. Multiscale Analysis & Volatility Asymmetry of Cryptocurrency Prices Sep 1, 2022     Empirical studies and market observations suggest that asset prices are driven by multiscale factors, ranging from long-term market regimes to rapid fluctuations     Read More Leveraged ETFsâââPrice Dynamics and Options Valuation Jun 11, 2022     The ETF industry now consists of more than 2,000 funds with well over $4 trillion in assets. Within the ETF universe, some funds are designed to replicate a constant multiple (called leverage ratio) of the daily returns of a reference index. These relatively new financial products are called leveraged ETFs (LETFs).     Read More Examining the Drawdown Risk of Sector ETFsâââ 2022 Apr 24, 2022     A drawdown measures the distance (in %) of the portfolio value from its peak, reflecting its downside risk. If a portfolio had previously reached a peak of $100 and subsequently dropped to $90, then the portfolio experienced a 10% drawdown.     Read More Optimal Execution for High Frequency Trading Apr 22, 2022     In high-frequency trading, large buy (or sell) orders may cause other traders to raise (or lower) their offered price. This additional implementation cost due to short-term liquidity demand is often called market impact.     Read More Modern Trends in Financial Engineering May 17, 2022     Modern Trends in Financial Engineering, publishes monographs on important contemporary topics in theory and practice of Financial Engineering.     Read More Stochastic Storage Cost Model for Grains Futures Mar 13, 2022     The world is experiencing the biggest supply shock to global grains markets in recent history. Prices of various crops, including wheat, soy, and corn, have skyrocketed. Take wheat as an example, the futures prices have jumped to record high in March.     Read More Dynamic Estimation of Stochastic Gold Exposure Feb 9, 2022     Gold is often viewed as a safe haven asset or a hedge against market turmoil, currency depreciation, and other economic or political events. At the beginning of the COVID pandemic, S&P 500 experienced a sharp drop before returning to pre-COVID level several months later. At the same time, SPDR Gold Shares (GLD) had gained more than 25% from February to August 2020.     Read More Encoding Market View via a Randomized Brownian Bridge Nov 3, 2021     Trading decisions often depend on the traderâs subjective belief of the distribution of the asset price on a given future date. For example, if a trader anticipates a big price movement for a company stock after its earnings announcement, then perhaps a long straddle position makes sense.     Read More Multiscale Decomposition and Analysis of Sector ETF Price Dynamics Oct 19, 2021     Asset prices are driven by factors of different timescales, ranging from long-term market regimes to short-term fluctuations, and they often exhibit nonstationary behaviors, such as time-varying volatility and trends.     Read More Dynamic Futures Portfolio in a Regime-Switching Market Aug 24, 2021     Asset prices are often seen as being dependent on market conditions. Market regimes may change suddenly and persist for a period of time. The unpredictability of the timing of regime changes also means that associated risks are almost impossible to hedge.     Read More Dynamic Futures Portfolio Under a Multifactor Gaussian Framework Aug 16, 2021     Futures are standardized exchange-traded bilateral contracts of agreement to buy or sell an asset at a pre-determined price at a pre-specified time in the future. At the Chicago Mercantile Exchange (CME), futures trading volume averages over 15 million contracts per day.     Read More Multiscale Financial Signal Processing May 8, 2021     Market observations and empirical studies have shown that asset prices are often driven by multiscale factors, ranging from long-term economic cycles to rapid fluctuations in the short term. This suggests that financial time series are potentially embedded with different timescales.     Read More Cardinality-Constrained Portfolios: Optimization Approach & Algorithm Feb 7, 2021     Every portfolio can be partitioned into multiple asset groups defined by asset classes, sectors, styles, and other features. A cardinality-constrained portfolio caps the number of stocks to be traded within each of these groups.     Read More MS Degree in Computational Finance & Risk Management (CFRM) Dec 23, 2020     The Master of Science in Computational Finance and Risk Management (MS-CFRM), housed within the Applied Math Department at University of Washington â Seattle, addresses the demand in the financial services profession for advanced skills in quantitative analytics and financial data science.     Read More Employee Stock OptionsâââExercise Timing, Hedging, and Valuation Nov 14, 2020     Book Title: Employee Stock Options Exercise Timing, Hedging, and Valuation     Read More An Optimization Algorithm for Sparse Mean-Reverting Portfolio Selection Oct 21, 2020     Motivated by the industry practice of pairs trading and long/short equity strategies, we study an approach that combines statistical learning and optimization to construct portfolios.     Read More The Drawdown Risk and Portfolio Concentration of Sector ETFs Oct 8, 2020     A drawdown measures the distance (in %) of the portfolio value from its peak, reflecting its downside risk. If a portfolio had previously reached a peak of $100 and subsequently dropped to $90, then the portfolio experienced a 10% drawdown.     Read More More from Tim Leung Read More  Barnet Sherman (A Wall Street Insider) An impact investor and fund manager, his perspective comes from extensive investment career advising to, and making investments for pensions, mutual funds, insurance companies, family offices, and investment advisors. Mispriced Municipal Bonds Cost Mutual Fund Shareholders And Taxpayers Billions Of Dollars Dec 5, 2022     The municipal bond marketâs lack of trade data and lack of digitized financial data cause mispricing and lost value, costing mutual fund shareholders and taxpayers alike billions of dollars.     Read More Municipal Bonds And ESG: All Hat, No Cattle Nov 14, 2022     For all of the municipal bond market's bluster about the importance of ESG risk in credit and value, it doesn't show up when it counts the mostâin trade prices.     Read More Relief For The Digital Data-Starved $3.9 Trillion Municipal Bond Market Nov 7, 2022     The $3.9 trillion municipal bond market has no digital financial data.     Read More Small Muni Issuers See A Potential 620% Windfall For Their Taxpayers Oct 27, 2022     The Financial Data Transparency Act offers a lottery-sized windfall for small muni issuers by digitizing their financial reporting.     Read More Stocks Versus Gold: Which Is A Better Investment? The Answer May Surprise You Nov 9, 2020     Gold bugs like to point out that gold has outperformed the S&P 500 over the last 40 years. Not so fast.     Read More More from Barnet Sherman Read More  Philip Bond, Ph.D. Edward E. Carlson Distinguished Professor in Business Administration, Finance and Business Economics (Foster School of Business). Notables: Co-editor, Journal of Finance (2016-2022), President, Finance Theory Group (2016-2017) ESG: A panacea for market power? With Doron Levit     Equilibrium of product/labor markets when firms adopt ESG. And     equilibrium in ESG policies. Focuses on the S part of ESG.     Read More Automation, financial frictions, and the long-run labor      share With Lukas Kremens     Does automation benefit or harm workers? Will complete     automation drive the labor share to zero?     Read More Buying high and selling low: Stock repurchases and persistent asymmetric information With Hongda Zhong     Analyzes a dynamic version of Myers and Majluf's classic model. Equilibria feature repurchases, even though all firms want to raise cash. Some firms strictly profit from the repurchase transaction.     Read More Ordering information content using the quantile      function.      Lehmann's (1988) information ordering is equivalent to     single-crossing of the quantile function.     Read More The real effects of financial markets      With Alex Edmans and Itay Goldstein, 2012, volume 4, pages     339-360, Annual Review of Financial Economics.          Lehmann's (1988) information ordering is equivalent to     single-crossing of the quantile function.     Read More Predatory mortgage lending With David Musto and Bilge Yilmaz     Predatory lending can arise even in the absence of lender fraud and borrower confusion.     Read More The Labor Market for Bankers and Regulators With Vincent Glode     Who becomes a financial regulator and who becomes a banker?     Read More Contracting in the presence of judicial agency      Judges have agency conflicts too. How does this affect contracting?     Read More More from Philip Bond Read More      Home  On-chain Margin  About Us  Team  Contact Us  openexa.co  openexa.to  openexa.us  openexa.net  openexa.io  openexa.ai  openexa.org  openexa.info       1100 NE Campus Parkway, Suite 200 Seattle, WA 98105           Copyright © OpenEXA Inc. 2023     Privacy Policy     ·     Terms & Conditions   "
55, team.html," team.html.   Team - OpenEXA    OpenEXA  Home Margin About Team Research Contact      Login        A Passionate Team      When it comes to building Openexa, there's no team more      qualified than ours.          Ajit Dubey Founder and CEO       Ajit brings over a decade of first hand experience from       top financial institutions such as Bank of America,       American Express, and Goldman Sachs. He also has a       successful entrepreneurship background in blockchain,       big data, and machine learning with Bond Intelligence       Inc. Additionally, he has shared his expertise as a       guest lecturer and industry collaborator at the       University of Washington's             CFRM Class of 2019 (Computational Finance and Risk       Management: 525 FinTech, Blockchains, and       Cryptocurrencies), As an accomplished professional, he has made significant contributions to his industry.       He has served as a reviewer at IEEE for Intelligent Systems for AI in Fintech, and held a position on the board of XBRL, The business reporting standards committee.       Additionally, he served on the panel of WGFOA for municipal finance disclosure modernization, allowing him to meaningfully contribute to the development and implementation of key industry standards and guidelines.           Furthermore, he played a pivotal role in implementing the first CNG network in Asia.             Ajit's accolades include the prestigious States, Roles of Honor award, which he received for his states victory at the National Science Exhibition, in the presence of the President of India, Sri. R Venkatraman. He holds a degree in Mechanical Engineering from the Indian National Institute of Technology and has further honed his executive management skills through training at XLRI and MTC.          Tim Leung       Crypto, Risk and Computational Finance             Tim is a Boeing Endowed Chair Professor of Applied       Mathematics and the director of the Computational       Finance and Risk Management Programs and the founder of       Quantitative Analytics Lab at the University of       Washington. His       research       areas are Quantitative Finance and Stochastic Optimal       Control. He has worked on a variety of problems, such as       derivatives pricing, algorithmic trading,       exchange-traded funds (ETFs), commodities, credit risk and cryptocurrencies. His       research has been funded by the National Science       Foundation (NSF). He has published over 60 peer-reviewed       articles and 4 books, including Optimal Mean Reversion       Trading, selected as one of the 100 Best Derivatives       Books of All Time.       Tim served as the Chair of the Institute for       Operations Research and the Management Sciences       (INFORMS) Finance Section and Vice Chair for the SIAM       Activity Group on Financial Mathematics & Engineering       (SIAG-FME). He is the founding editor of,       Modern Trends in Financial Engineering. He's on the editorial board of a number of journals,       including Stochastic Models, Applied Mathematical       Finance, SIAM Journal on Financial Math, Journal of       Financial Engineering, Studies in Economics & Finance,       High Frequency, IISE Transactions, Digital Signal       Processing. In 2020, he is the co-editor of the IEEE       Intelligent Systems Special Issue on AI and Fintech. In       2016, he won the Emerald Literati Network Award. Learn more ...    Mike Lockhart       Technology Officer             Mike, a seasoned software architect with a passion for       solving complex real-time system challenges, including       those in the realm of blockchain. With a wealth of       experience in the field, Mike has served as an architect       on several high-stakes real-time business systems,       including the initial online banking transaction       processing system for Washington Mutual. As a key player       at Paper Exchange, a start-up that       revolutionized online exchange transactions in the       forest products industry,eventually acquired by a        German firm, PaperSpace.             At Microsoft, Mike held the       title of principal architect, where he designed and       executed a comprehensive global pricing system that       touched upon 90% of Microsoft's revenues. This included       an optimal real-time pricing and quoting system, and a       massive product and price data warehouse used by       Microsoft on a global scale. Mike's exceptional work has       been recognized with a patent for a real-time       rules-based algorithm processing system and his       expertise extends to two real-time embedded software       essential avionics systems on the Boeing 737/757/767.    Shalabh Choudhri       AI Crypto             Shalabh is a passionate problem-solver and seasoned       software engineer and leader with experience in building       large-scale distributed systems and scaling software,       product, and teams at both early-stage startups and big       institutions like Google. His specialties include       contextual data discovery, storage systems, and ML       infrastructure.       At Google, Shalabh founded the ML efforts for conversion       optimization and spam/fraud detection using TensorFlow.       His team was the first to successfully build ML models       based on phone call recordings, achieving a record of       ~10 models with over 90% accuracy in the first year.             Currently, Shalabh is passionate about pursuing the       field of AI Crypto, where he aims to bridge traditional       Wall Street assets into crypto markets. Shalabh is       uniquely positioned to explore innovative ways of       integrating AI and crypto. His ultimate goal is to help       drive the mainstream adoption of crypto by leveraging       the power of AI and Blockchain.          John Schuster       Operating Officer             John Schuster is a technology development executive with       extensive experience in hands-on leadership and       engineering roles including CEO, CTO, COO, and VP of       Engineering. Prior to joining OpenEXA, he was the       co-founder and COO of GeoParking Technologies, Inc.       (GPT), a seed stage/stealth startup that was developing       an âAirbnbâ type platform to enable Robotaxi companies       to source between-ride and overnight parking from GPTâs       local community platform users.       Prior to GeoParking, John worked in the satellite       industry as a Senior Technical Program Manager on       Amazon's Kuiper Project and as the SVP of Engineering at       LeoSat. Earlier in his career John co-founded NudgeRx,       which developed and launched a call-center and       internet-based service to reduces hospital readmission       for heart surgery patients. John was also CTO of       Terabeam Corporation, a unicorn start-up in 2000, where       he was technical lead of the team that raised over $526M       in equity financing and established the company as the       clear leader in the wireless optical communications       space.       John received his MBA in Finance from The Wharton School of Business       and his BS in Engineering and Applied Science from the Caltech.                     Barnet Sherman       Market Analyst and Customer Success             Barnet Sherman is Wall Street's own Impact Investor &       Strategist. He founded and ran hedge funds, managed       multi-billion-dollar pension portfolios. Guest lectured       at Columbia University, Boston University School of Law       and the Duke University School of Law. He is a regular       contributor to Forbes. His insights into the financial       market come from the extensive investment career       advising to and making investments for pensions funds,       mutual funds, insurance companies, and investment       advisors.       Barnet was a Trader and Portfolio Manager at Morgan       Stanley and TIAA-CREF, Founder of Braintree Capital, a       hedge fund, as well as head of Bond Research at Thompson       & Reuters, and a fin-tech startup Neighborly       Investments. His columns running their tenth year on       Forbes, his views on the financial market featured       across the financial news outlets such as CNBC, INC,       Bloomberg, The New York Times, and Wall Street Journal.       He has been recognized by Who's Who in America, Who's       Who in Business and Industry, Smith's Municipal Analyst       All-Stars and twice testified as an expert on bonds in       Federal Court. Former congressional aide in Washington,       D.C.       Learn more ...    Abhishek Sinha       Technical Program Manager             A technology expert with over a decade of experience,       delivering v1 initiatives on the ground. Abhishek       believes in OpenEXA as a startup that would fix the       institutional credit in crypto. Has experience in many       big tech firms such as Amazon and Microsoft.       Demonstrates a relentless pursuit of excellence in       driving for results that provide business value.       Extensive expertise in project planning and managing       software projects with a strong focus on customer       experience. Proven ability to establish       cross-functional, global, collaborative relationships       built on trust and credibility. Recognized for strategic       planning, analytical and pragmatic problem solving and       decisiveness. Strengths include data mining to derive       business insight, influencing and motivating teams to       get most out of them.          Victor Gamolsky       Strategy & Business Process             Victor brings 10 years of experience with the Lean       Startup tools such as Customer Development, Business       Model Generation and Blue Ocean strategy to name a few.       He is a cofounder of the MetaVerse company Roomful, and       a current CTO of the BPM Consulting Company Database       Republic. Victor graduated from a top University in       Russia with a degree in Nuclear Physics, and upon       arrival to Silicon Valley in 1990 got immersed in the       innovative startup culture and dedicated his       professional life to bringing new ideas to life.          Kumar Mehta Advisor       Kumar is the Co-Founder/CDO and Former CEO at Versa       Networks. Kumar brings a proven track record of leading       mega-projects at startups as well as publicly traded       companies. His vision, work ethic, and leadership as VP       of Engineering at Juniper Networks resulted in multiple       blockbuster product deliveries, including the       market-leading Metro and Carrier Ethernet solution, the       MX series. His leadership in design, development, and       delivery of differentiated solutions resulted in huge       and continuing revenue streams for the company and       brought Kumar the prestigious CEO Excellence Award.       Prior to Juniper, Kumar held engineering management       positions at Riverstone Networks and Yago Systems. Kumar       is a graduate of the Executive Program at Stanford       University Graduate School of Business. He has a       masterâs degree in Engineering from Virginia Tech and a       Bachelor of Technology from the Indian Institute of       Technology, Kharagpur.       Learn more ...    Sreeram Kannan Advisor       Sreeram Kannan is the founder of Eigen Layer and the director of the University of Washington's Blockchain Lab. His research at UW focuses on distributed computing, information theory, queuing theory, networking, coding theory, and game theory of blockchain systems. Eigen Layer is a proof of stake validation marketplace that reuses state capital and existing validation infrastructure. With Eigen Layer. Ethereum can enable permissionless and modular innovation across all blockchain layers.       He is a 2021 National-Academy-of-Engineering Frontiers-of-engineering speaker at the US-Japan bilateral meet, a recipient of the 2019 UW ECE outstanding teaching award, 2017 NSF Faculty Early CAREER award, the 2013 Van Valkenburg outstanding dissertation award from UIUC, a co-recipient of the 2010 Qualcomm Cognitive Radio Contest first prize, a recipient of 2010 Qualcomm (CTO) Roberto Padovani outstanding intern award, a recipient of the SVC Aiya medal from the Indian Institute of Science.       Learn more ...    Philip Alan Bond Advisor       Philip Alan Bond is Edward E. Carlson Distinguished       Professor in Business Administration in the Finance and       Business Economics Department of the Foster School of       Business at the University of Washington. Before the       current position, he served on the faculties of the       Finance departments at Carlson (University of       Minnesota), Wharton (University of Pennsylvania), and       Kellogg (Northwestern University). He holds a Ph.D. in       Economics from the University of Chicago, and a BA in       Mathematics from the University of Oxford.       He has held leadership positions in internationally       prominent academic organizations, most notably as       co-editor of the Journal of Finance (the fieldâs leading       academic journal; co-editor since 2016), and as       president of the Finance Theory Group (2016-2017). He       has published 25 papers, the majority of these appearing       in the fieldâs leading academic journals, on a wide       array of topics relating to capital markets, market       microstructure, microeconomics, monetary policy,       financial markets, macroeconomics, derivatives,       financial intermediation, and the structure of the       Financial Services industry and Investment Banking.       Learn more ...    Dipit Nanawati       Subject Matter Expert       As a trusted advisor to some of the largest Wall Street firms, Dipit has provided expert guidance on a range of critical areas including business function optimization, regulatory compliance, revenue recognition, and cost reduction.       With expertise in capital markets, as well as trade surveillance and transaction monitoring in key industry verticals such as correspondent banking, broker/dealer, hedge funds, and asset management, he has helped clients achieve greater efficiency, compliance, and profitability in their operations.             Deep industry insight into the regulatory dimension of financial services: Anti-Financial Crime (AML, BSA, OFAC, KYC, Enterprise Case Management) and Trade Surveillance (Dodd-Frank).                  Hands on experience querying and integrating data sets, running analytical calculations, setting up and configuring models, performing model validation and tuning and creating dashboards, reports, extracts and alerts.             Worked at institutions such as Chainvine (UK - Blockchain), Goldman Sachs (NY), Nomura Securities (NY), Deutsche Bank (NY), Citibank (NY), Nice Actimize (NY), JPmorgan Chase (NY), Barclays Capital (NY), Fluere Analytics (NY), Bank of America Merrill Lynch (NY) and Standard Chartered, Singapore.                   Home  On-chain Margin  About Us  Team  Contact Us  openexa.co  openexa.to  openexa.us  openexa.net  openexa.io  openexa.ai  openexa.org  openexa.info       1100 NE Campus Parkway, Suite 200 Seattle, WA 98105           Copyright © OpenEXA Inc. 2023     Privacy Policy     ·     Terms & Conditions   "
